user_id,product_id,rating,rating_count,category,product_name,img_link,about_product,tags
268,303,4.2,"10,576","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables","Wayona Nylon Braided Usb Type C 3Ft 1M 3A Fast Charger Cable For Samsung Galaxy S9 S8 (Wc3Cb1, Black)",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41DXzzwydTL._SX300_SY300_QL70_FMwebp_.jpg,"usb, c, usb, data, charging, cable, fully, compatible, usb, c, galaxy, note, galaxy, s8, s8, plus, google, pixel, pixel, xl, nintendo, switch, nokia8, lg, g5, g6, 10, nexus, 6p, 5x, nexus, macbook, charge, sync, simultaneously, rapid, speed, compatible, charging, adaptor, multi, port, charging, station, power, nylon, braided, design, aluminium, housing, toughened, nylon, fiber, wound, tightly, cord, lending, durability, adding, bit, designed, fully, protect, device, damaging, excessive, copper, core, shielding, anti, interference, protective, circuit, 12, months, warranty, friendly, client, services, ensures, long, time, enjoyment, transaction","usb, c, usb, data, charging, cable, fully, compatible, usb, c, galaxy, note, galaxy, s8, s8, plus, google, pixel, pixel, xl, nintendo, switch, nokia8, lg, g5, g6, 10, nexus, 6p, 5x, nexus, macbook, charge, sync, simultaneously, rapid, speed, compatible, charging, adaptor, multi, port, charging, station, power, nylon, braided, design, aluminium, housing, toughened, nylon, fiber, wound, tightly, cord, lending, durability, adding, bit, designed, fully, protect, device, damaging, excessive, copper, core, shielding, anti, interference, protective, circuit, 12, months, warranty, friendly, client, services, ensures, long, time, enjoyment, transaction, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
415,584,4.3,"10,833","Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CameraPrivacyCovers","LIRAMARK Webcam Cover Slide, Ultra Thin Laptop Camera Cover Slide Blocker for Computer MacBook Pro iMac PC Tablet (Pack of 3)",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41PeQz-jDSL._SX300_SY300_QL70_FMwebp_.jpg,"cool, gadget, protection, possible, video, surveillance, hackers, webcam, cover, slide, easily, slides, camera, ensuring, wo, surveillance, tool, thin, super, thin, design, perfect, curve, edges, extra, mini, size, means, perfectly, combine, devices, webcam, cover, inches, thick, feel, existence, laptop, lid, design, webcam, cover, compatible, laptop, computer, smartphones, ipad, iphone, macbook, macbook, pro, tablets, pc, ps4, desktops, pieces, package, meet, cameras, sturdy, adhesive, solid, durable, strong, nano, gel, provides, durable, reliable, connection, devices, webcam, cover, adhesive, easily, applied, removed, device, install, use, dry, cloth, clean, surface, device, webcam, remove, 3, m, adhesive, tape, camera, cover, slide, align, lens, attach, protective, cover, lens, firmly, press, 15, seconds, achieve, strong, non, permanent, seal","cool, gadget, protection, possible, video, surveillance, hackers, webcam, cover, slide, easily, slides, camera, ensuring, wo, surveillance, tool, thin, super, thin, design, perfect, curve, edges, extra, mini, size, means, perfectly, combine, devices, webcam, cover, inches, thick, feel, existence, laptop, lid, design, webcam, cover, compatible, laptop, computer, smartphones, ipad, iphone, macbook, macbook, pro, tablets, pc, ps4, desktops, pieces, package, meet, cameras, sturdy, adhesive, solid, durable, strong, nano, gel, provides, durable, reliable, connection, devices, webcam, cover, adhesive, easily, applied, removed, device, install, use, dry, cloth, clean, surface, device, webcam, remove, 3, m, adhesive, tape, camera, cover, slide, align, lens, attach, protective, cover, lens, firmly, press, 15, seconds, achieve, strong, non, permanent, seal, Computers&Accessories,Accessories&Peripherals,LaptopAccessories,CameraPrivacyCovers"
298,472,4.4,"13,552","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables","Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",https://m.media-amazon.com/images/I/3183iGEWksL._SX300_SY300_QL70_ML2_.jpg,"fast, charge, 18w, higher, usb, c, wall, charger, power, delivery, charge, iphone, 50, battery, 30, minutes, supported, models, include, iphone, 8, 8, plus, x, xs, xr, xs, max, 11, 11, pro, 11, pro, max, ipads, high, speed, data, transfer, 480, mbps, transferring, music, movies, friendly, design, built, rated, materials, tested, withstand, x, bend, cycles, features, textured, grooves, connector, ends, improved, chip, apple, mfi, certified, charging, syncing, cable, apple, devices, improved, chipset, ensure, cable, compatible, standard, usb, chargers, laptop, ports, works, type, c, adapters, laptop, ports, check, port, adapter, buying, type, usb, type, c","fast, charge, 18w, higher, usb, c, wall, charger, power, delivery, charge, iphone, 50, battery, 30, minutes, supported, models, include, iphone, 8, 8, plus, x, xs, xr, xs, max, 11, 11, pro, 11, pro, max, ipads, high, speed, data, transfer, 480, mbps, transferring, music, movies, friendly, design, built, rated, materials, tested, withstand, x, bend, cycles, features, textured, grooves, connector, ends, improved, chip, apple, mfi, certified, charging, syncing, cable, apple, devices, improved, chipset, ensure, cable, compatible, standard, usb, chargers, laptop, ports, works, type, c, adapters, laptop, ports, check, port, adapter, buying, type, usb, type, c, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
1048,693,4.0,"9,378","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables","FLiX (Beetel) 3in1 (Type C|Micro|Iphone Lightening) Textured Pattern 3A Fast Charging Cable with QC & PD Support for Type C,Micro USB & Lightning Iphone Cable,Made in India,1.5 Meter Long Cable(T101)",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31-ACQj+oDL._SY445_SX342_.jpg,"proudly, charging, combined, 3, 1, cable, supports, fast, charging, speed, 3a, gadgets, including, mobiles, tablets, speakers, durable, cable, crafted, braided, wire, giving, extra, tough, braided, cable, 10000, bends, lifespan, compatibility, 3, 1, cable, gives, universal, compatibility, flexible, high, quality, material, comes, usb, type, c, connector, micro, usb, connector, lightning, length, durable, flexible, cable, comes, ideal, length, meter, eliminates, struggle, finding, nearby, switch, boards","proudly, charging, combined, 3, 1, cable, supports, fast, charging, speed, 3a, gadgets, including, mobiles, tablets, speakers, durable, cable, crafted, braided, wire, giving, extra, tough, braided, cable, 10000, bends, lifespan, compatibility, 3, 1, cable, gives, universal, compatibility, flexible, high, quality, material, comes, usb, type, c, connector, micro, usb, connector, lightning, length, durable, flexible, cable, comes, ideal, length, meter, eliminates, struggle, finding, nearby, switch, boards, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
891,589,4.3,"13,391","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables",Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),https://m.media-amazon.com/images/I/31dJ+lXJq3L._SY300_SX300_.jpg,"charge, sync, cable, comes, charging, data, sync, function, quality, tpe, nylon, material, sure, life, cable, enhanced, cable, extra, thick, meter, long, optimized, easy, use, comfort, home, cable, unique, interms, design, multi, use, positioned, provide, best, comfort, performance","charge, sync, cable, comes, charging, data, sync, function, quality, tpe, nylon, material, sure, life, cable, enhanced, cable, extra, thick, meter, long, optimized, easy, use, comfort, home, cable, unique, interms, design, multi, use, positioned, provide, best, comfort, performance, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
674,1189,4.1,"18,998","Electronics,Mobiles&Accessories,Smartphones&BasicMobiles,Smartphones","Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus",https://m.media-amazon.com/images/I/413sCRKobNL._SX300_SY300_QL70_ML2_.jpg,"upto, 12, gb, ram, ram, plus, 128, gb, internal, memory, expandable, 5, g, 11, 5, g, bands, powerful, mtk, d700, octa, core, android, ui, core, dual, camera, true, 50mp, main, camera, 2mp, 5mp, centimeters, inch, lcd, resolution, 720, x, 1600, pixels, resolution, 269, ppi, 16, m, lithium, ion, battery, 1, year, manufacturer, warranty, device, 6, months, manufacturer, warranty, box, accessories, including, batteries, date, purchase","upto, 12, gb, ram, ram, plus, 128, gb, internal, memory, expandable, 5, g, 11, 5, g, bands, powerful, mtk, d700, octa, core, android, ui, core, dual, camera, true, 50mp, main, camera, 2mp, 5mp, centimeters, inch, lcd, resolution, 720, x, 1600, pixels, resolution, 269, ppi, 16, m, lithium, ion, battery, 1, year, manufacturer, warranty, device, 6, months, manufacturer, warranty, box, accessories, including, batteries, date, purchase, Electronics,Mobiles&Accessories,Smartphones&BasicMobiles,Smartphones"
210,771,3.9,"24,871","Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables","pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",https://m.media-amazon.com/images/I/31wOPjcSxlL._SX300_SY300_QL70_FMwebp_.jpg,"fast, charging, data, sync, solero, tb301, type, c, cable, supports, fast, charge, devices, data, syncing, speed, compatibility, usb, charging, cable, connects, usb, type, c, devices, standard, usb, devices, like, laptops, hard, drives, power, banks, wall, car, chargers, etc, connector, reversible, type, usb, tough, type, c, cable, charging, cable, double, braided, exterior, premium, aramid, fiber, core, metal, plugs, passed, bending, tests, easily, withstand, daily, length, meter, long, c, type, cable, uses, nylon, material, protect, wire, avoid, fit, connectors, ptron, soler, usb, c, passed, 5, kg, load, test, swing, test, 5000, times, connect, disconnect, ensure, loose, connections","fast, charging, data, sync, solero, tb301, type, c, cable, supports, fast, charge, devices, data, syncing, speed, compatibility, usb, charging, cable, connects, usb, type, c, devices, standard, usb, devices, like, laptops, hard, drives, power, banks, wall, car, chargers, etc, connector, reversible, type, usb, tough, type, c, cable, charging, cable, double, braided, exterior, premium, aramid, fiber, core, metal, plugs, passed, bending, tests, easily, withstand, daily, length, meter, long, c, type, cable, uses, nylon, material, protect, wire, avoid, fit, connectors, ptron, soler, usb, c, passed, 5, kg, load, test, swing, test, 5000, times, connect, disconnect, ensure, loose, connections, Computers&Accessories,Accessories&Peripherals,Cables&Accessories,Cables,USBCables"
